act_role,eng_title,evaluation_num,movie_link,quote,ranking,rating_num,title
"
                            导演: Martin Scorsese???主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...",?/?Shutter Island,413581人评价,https://movie.douban.com/subject/2334904/,昔日翩翩少年，今日大腹便便。,88,8.7,禁闭岛
,,,,,,,
"
                            导演: 王家卫 Kar Wai Wong???主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...",?/?重慶森林,379387人评价,https://movie.douban.com/subject/1291999/,寂寞没有期限。,89,8.7,重庆森林
,,,,,,,
"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg???主演: 莱昂纳多·迪卡普里奥 L...",?/?Catch Me If You Can,273312人评价,https://movie.douban.com/subject/1305487/,骗子大师和执著警探的你追我跑故事。 ,90,8.8,猫鼠游戏
,,,,,,,
"
                            导演: 托马斯·温特伯格 Thomas Vinterberg???主演: 麦斯·米科尔森 Mads Mik...",?/?Jagten,153497人评价,https://movie.douban.com/subject/6985810/,人言可畏。,91,9,狩猎
,,,,,,,
"
                            导演: James Mangold???主演: John Cusack / Ray Liotta / Amanda Peet",?/?Identity,364001人评价,https://movie.douban.com/subject/1297192/,最不可能的那个人永远是最可能的。,92,8.7,致命ID
,,,,,,,
"
                            导演: 李安 Ang Lee???主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...",?/?Brokeback Mountain,362821人评价,https://movie.douban.com/subject/1418834/,每个人心中都有一座断背山。,93,8.7,断背山
,,,,,,,
"
                            导演: 蒂姆·波顿 Tim Burton???主演: 伊万·麦克格雷格 Ewan McGregor / 阿...",?/?Big Fish,285050人评价,https://movie.douban.com/subject/1291545/,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,94,8.7,大鱼
,,,,,,,
"
                            导演: 陈可辛 Peter Chan???主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...",?/?Comrades: Almost a Love Story,258485人评价,https://movie.douban.com/subject/1305164/,相逢只要一瞬间，等待却像是一辈子。,95,8.8,甜蜜蜜
,,,,,,,
